Date,Category,Value,Product,Sales,Region
2023-01-01,A,28.0,Product1,754.0,East
2023-01-02,B,39.0,Product3,110.0,North
2023-01-03,C,32.0,Product2,398.0,East
2023-01-04,B,8.0,Product1,522.0,East
2023-01-05,B,26.0,Product3,869.0,North
2023-01-06,B,54.0,Product3,192.0,West
2023-01-07,A,16.0,Product1,936.0,East
2023-01-08,C,89.0,Product1,488.0,West
2023-01-09,C,37.0,Product3,772.0,West
2023-01-10,A,22.0,Product2,834.0,West
2023-01-11,B,7.0,Product1,842.0,North
2023-01-12,B,60.0,Product2,,West
2023-01-13,A,70.0,Product3,628.0,South
2023-01-14,A,69.0,Product1,423.0,East
2023-01-15,A,47.0,Product2,893.0,West
2023-01-16,C,,Product1,895.0,North
2023-01-17,C,93.0,Product2,511.0,South
2023-01-18,,,Product1,108.0,West
2023-01-19,A,31.0,Product2,578.0,West
2023-01-20,4,59.0,Product1,736.0,East
